,,ChannelInfo,Category,Subscribers ,Avg.Views ,NoxScore
207, 207   ↑   1  ,   netd müzik ,  Music  , 18.5M   -   ,  27.7K    ↓     58.7% ,4.53
208, 208   ↑   2  ,   KAROL G ,  Music  , 18.5M ↑  0.5% ,  6.34M   ↑   1% ,1.52
209, 209     ↓    2  ,   Anuel AA ,  Music  , 18.5M   -   ,  112.71M   ↑   0.5% ,1.19
210, 210   ↑   1  ,   Jess No Limit ,  Gaming  , 18.5M ↑  1.1% ,  1M   ↑   25.7% ,3.95
211, 211     ↓    2  ,   David Dobrik ,  People & Blogs  , 18.4M   -   ,  18.14M   ↑   0.8% ,0.98
212, 212   ↑   2  ,   PTXofficial ,  Music  , 18.3M ↑  0.5% ,  1.41M   ↑   2.2% ,2.66
213, 213     ↓    1  ,   JYP Entertainment ,  Music  , 18.3M ↑  0.5% ,  16.59M   ↑   3.5% ,4.74
214, 214     ↓    1  ,   Lady Gaga ,  Music  , 18.3M ↑  0.5% ,  1.15M   ↑   0.7% ,1.02
215, 215   ↑   2  ,   infobells - Tamil ,  Education  , 18.3M ↑  1.1% ,  3.94M   ↑   17.4% ,4.65
216, 216     ↓    1  ,   ArianaGrandeVevo ,  Music  , 18.2M   -   ,  96.12M   ↑   0.8% ,0.96
217, 217     ↓    1  ,   mmoshaya ,  Entertainment  , 18.2M ↑  0.5% ,  7.36M    ↓     2.5% ,4.94
218, 218   ↑   2  ,   TED ,  Nonprofits & Activism  , 18.1M ↑  0.6% ,  94.27K   ↑   9% ,3.01
219, 219     -   ,   Tekashi 6ix9ine ,  Music  , 18.1M ↑  0.6% ,  162.79M   ↑   0.6% ,4.83
220, 220     ↓    2  ,   DLS News ,  News & Politics  , 18.1M   -   ,  200.66K    ↓     27.7% ,3.12
221, 221     -   ,   5-Minute Crafts PLAY ,  Howto & Style  , 17.9M   -   ,  103.89K   ↑   1.8% ,3.44
222, 222   ↑   4  ,   Masha and The Bear ,  Film & Animation  , 17.9M ↑  0.6% ,  2.38M   ↑   13.4% ,4.62
223, 223     -   ,   Avicii ,  Music  , 17.9M   -   ,  1.53M   ↑   2.1% ,1.16
224, 224   ↑   4  ,   Bounce Patrol - Kids Songs ,  Music  , 17.9M ↑  1.1% ,  24.08M    ↓     21.4% ,4.08
225, 225     ↓    1  ,   America's Got Talent ,  Entertainment  , 17.9M ↑  0.6% ,  231K   ↑   48% ,3.2
226, 226     ↓    4  ,   TheWillyrex ,  Gaming  , 17.9M   -   ,  1.17M   ↑   30% ,3.26
227, 227     ↓    2  ,   Liza Koshy ,  Comedy  , 17.8M   -   ,  5.28M   ↑   0.1% ,3.09
228, 228     ↓    1  ,   Sesame Street ,  Entertainment  , 17.8M ↑  0.6% ,  529.77K   ↑   15.2% ,2.84
229, 229     -   ,   Sia ,  Music  , 17.8M ↑  0.6% ,  8.15M   ↑   1.8% ,2.48
230, 230     -   ,   infobells - Telugu ,  Education  , 17.7M ↑  0.6% ,  5.77M   ↑   7.1% ,3.66
231, 231     -   ,   Brave Wilderness ,  Pets & Animals  , 17.7M ↑  0.6% ,  1.11M    ↓     30.8% ,3.01
232, 232   ↑   1  ,   Jingle Toons ,  Film & Animation  , 17.6M ↑  0.6% ,  8.14M   ↑   1.5% ,1.95
233, 233   ↑   1  ,   Coldplay ,  Music  , 17.6M ↑  0.6% ,  2.49M   ↑   1.4% ,3.25
234, 234     ↓    2  ,   LuisFonsiVEVO ,  Music  , 17.6M   -   ,  130.45M   ↑   0.4% ,2.09
235, 235   ↑   3  ,   Lil pump ,  Music  , 17.5M   -   ,  103.95M   ↑   0.2% ,0.94
236, 236     ↓    1  ,   Calvin Harris ,  Music  , 17.5M   -   ,  1.51M   ↑   25.9% ,0.96
237, 237     -   ,   SlivkiShow ,  Entertainment  , 17.5M   -   ,  5.93M    ↓     0.3% ,4.63
238, 238   ↑   2  ,   Venus Movies ,  Entertainment  , 17.5M ↑  0.6% ,  234.75K   ↑   2.3% ,2.61
239, 239     ↓    3  ,   Rans Entertainment ,  Entertainment  , 17.5M   -   ,  425.22K    ↓     33.3% ,3.78
240, 240     ↓    1  ,   Ali-A ,  Gaming  , 17.4M   -   ,  1.77M   ↑   6.9% ,3.56
241, 241   ↑   3  ,   Pencilmation ,  Film & Animation  , 17.3M ↑  0.6% ,  3.13M   ↑   1.5% ,4.63
242, 242     ↓    1  ,   Charlie Puth ,  Music  , 17.3M   -   ,  7.11M   ↑   0.4% ,2.36
243, 243   ↑   6  ,   Little Angel: Nursery Rhymes & Kids Songs ,  Education  , 17.2M ↑  1.2% ,  13.26M   ↑   5.3% ,5
244, 244     ↓    2  ,   jeffreestar ,  Howto & Style  , 17.2M   -   ,  11.28M   ↑   0.2% ,2.71
245, 245     ↓    2  ,   Unbox Therapy ,  Science & Technology  , 17.2M   -   ,  2.06M   ↑   5.9% ,4.22
246, 246     ↓    1  ,   Totoykids ,  Film & Animation  , 17.2M   -   ,  5.08M    ↓     4.3% ,1.68
247, 247   ↑   4  ,   Jimmy Kimmel Live ,  Comedy  , 17.1M ↑  0.6% ,  307.66K   ↑   47.4% ,2.87
248, 248   ↑   2  ,   EeOneGuy ,  Entertainment  , 17.1M ↑  0.6% ,  11.25M   ↑   0.1% ,3.82
249, 249     ↓    3  ,   PopularMMOs ,  Gaming  , 17.1M   -   ,  890.22K   ↑   8.2% ,2.84
250, 250     ↓    2  ,   Lele Pons ,  Comedy  , 17.1M ↑  0.6% ,  13.16M   ↑   5.1% ,3.43
251, 251   ↑   1  ,   Sandeep Maheshwari ,  People & Blogs  , 17M ↑  0.6% ,  1.6M    ↓     0.1% ,4.14
252, 252   ↑   1  ,   Netflix ,  Entertainment  , 17M ↑  0.6% ,  291.19K    ↓     11.9% ,3.46
253, 253     ↓    6  ,   GEN HALILINTAR ,  Entertainment  , 17M   -   ,  819.41K   ↑   1.8% ,3.04
254, 254     -   ,   Linkin Park ,  Music  , 16.8M   -   ,  2.18M    ↓     4% ,2.63
255, 255   ↑   2  ,   Becky G ,  Music  , 16.8M ↑  0.6% ,  327.47K   ↑   0.7% ,1.72
256, 256     ↓    1  ,   Cia. Daniel Saboya ,  Music  , 16.8M   -   ,  432.69K    ↓     16.4% ,3.1
257, 257   ↑   3  ,   Kids TV - Nursery Rhymes And Baby Songs ,  Education  , 16.7M ↑  0.6% ,  109.4K    ↓     18% ,3.26
258, 258     -   ,   Werevertumorro ,  Entertainment  , 16.7M   -   ,  589.16K   ↑   0.4% ,0.91
259, 259     ↓    3  ,   FGTeeV ,  Gaming  , 16.7M   -   ,  4.83M    ↓     2% ,4.83
260, 260   ↑   3  ,   FaZe Rug ,  Entertainment  , 16.7M ↑  0.6% ,  3.08M    ↓     1.5% ,4.73
261, 261   ↑   5  ,   TRANS7 OFFICIAL ,  Entertainment  , 16.6M ↑  0.6% ,  8.54K   ↑   440.1% ,4.79
262, 262     ↓    3  ,   Good Mythical Morning ,  Entertainment  , 16.6M   -   ,  1.45M   ↑   2% ,3.59
263, 263   ↑   4  ,   JukiLop ,  People & Blogs  , 16.6M ↑  0.6% ,  12.15M   ↑   0.5% ,0.91
264, 264     ↓    3  ,   LazarBeam ,  Gaming  , 16.6M   -   ,  10.51M   ↑   5.3% ,4.95
265, 265     ↓    1  ,   Noor Stars ,  Entertainment  , 16.6M ↑  0.6% ,  3.57M   ↑   1.7% ,4.69
266, 266     ↓    4  ,   Porta dos Fundos ,  Entertainment  , 16.6M   -   ,  399.34K    ↓     8.8% ,3.05
267, 267   ↑   1  ,   Doggy Doggy Cartoons ,  Entertainment  , 16.5M   -   ,  115.84K   ↑   4% ,2.4
268, 268     ↓    3  ,   Gaby and Alex ,  Entertainment  , 16.5M   -   ,  2.16M    ↓     7.5% ,3.15
269, 269     -   ,   Demi Lovato ,  Music  , 16.4M   -   ,  4.12M    ↓     0.3% ,1.28
270, 270     -   ,   Smile Toys Review ,  Entertainment  , 16.4M ↑  0.6% ,  6.59M   ↑   8.7% ,1.33
271, 271   ↑   1  ,   ARY Digital ,  Entertainment  , 16.4M ↑  1.2% ,  17.65K    ↓     93% ,4.76
272, 272     ↓    1  ,   Nick Jr. ,  Film & Animation  , 16.4M ↑  0.6% ,  424.19K   ↑   86% ,3.32
273, 273   ↑   4  ,   CKN Toys ,  Entertainment  , 16.2M ↑  0.6% ,  1.01M   ↑   4.4% ,2.72
274, 274   ↑   1  ,   Disney ,  Entertainment  , 16.2M ↑  0.6% ,  63.27K   ↑   20.8% ,2.62
275, 275     ↓    1  ,   Worldwide Records Bhojpuri ,  Music  , 16.2M ↑  0.6% ,  82.84K    ↓     55.6% ,3.39
276, 276   ↑   4  ,   Sony PAL ,  Entertainment  , 16.2M ↑  0.6% ,  548.03K   ↑   42% ,4.86
277, 277     ↓    4  ,   JFlaMusic ,  Music  , 16.2M   -   ,  5.65M   ↑   2.6% ,3.45
278, 278   ↑   1  ,   Clash of Clans ,  Gaming  , 16.1M   -   ,  3.41M    ↓     20.3% ,4.16
279, 279   ↑   4  ,   Wave Music - Bhojpuri ,  Music  , 16.1M ↑  0.6% ,  33.24K    ↓     29.7% ,3.1
280, 280     ↓    2  ,   Baim Paula ,  Entertainment  , 16.1M   -   ,  725.62K    ↓     26.6% ,4.01
281, 281     -   ,   Vsauce ,  Entertainment  , 16.1M   -   ,  3.4M   ↑   0.8% ,2.14
282, 282     ↓    6  ,   Like Nastya Vlog ,  People & Blogs  , 16.1M   -   ,  40.07M   ↑   1.2% ,3.3
283, 283     ↓    1  ,   Paulo Londra ,  Music  , 16M   -   ,  74.91M    ↓     19.3% ,1.03
284, 284   ↑   11  ,   Round2hell ,  Comedy  , 16M ↑  1.9% ,  32.88M   ↑   2.2% ,2.99
285, 285   ↑   2  ,   Masha y el Oso ,  Film & Animation  , 16M ↑  0.6% ,  1.67M    ↓     7.8% ,4.62
286, 286   ↑   2  ,   Troom Troom Es ,  Howto & Style  , 16M ↑  0.6% ,  1.2M   ↑   3.5% ,3.96
287, 287     ↓    3  ,   Caeli Alien ,  Entertainment  , 16M   -   ,  1.09M   ↑   7.9% ,2.59
288, 288     ↓    3  ,   Saregama Music ,  Music  , 16M ↑  0.6% ,  232.45K   ↑   393.5% ,3.28
289, 289   ↑   2  ,    ,  Film & Animation  , 16M ↑  1.3% ,  1.29M    ↓     14% ,4.93
290, 290     ↓    4  ,   Romeo Santos ,  Music  , 15.9M   -   ,  22.11M   ↑   0.4% ,2.62
291, 291     ↓    1  ,   Infinite ,  Entertainment  , 15.9M ↑  0.6% ,  535.97K   ↑   32.4% ,3.03
292, 292   ↑   10  ,   Diana Kids Stories ,  Entertainment  , 15.8M ↑  0.6% ,  6.8M    ↓     26.7% ,4.82
293, 293     -   ,   Zee News ,  News & Politics  , 15.8M   -   ,  21.45K   ↑   18.3% ,4.79
294, 294     ↓    2  ,   Guava Juice ,  Entertainment  , 15.8M   -   ,  1.09M   ↑   22.8% ,3.13
295, 295     ↓    6  ,   Britain's Got Talent ,  Entertainment  , 15.8M   -   ,  98.69K    ↓     5.4% ,2.77
296, 296     ↓    2  ,   Genevieve's Playhouse - Learning Videos for Kids ,  Film & Animation  , 15.8M ↑  0.6% ,  4.15M   ↑   4.2% ,3.16
297, 297   ↑   3  ,   ZHC ,  Entertainment  , 15.8M ↑  0.6% ,  18.58M   ↑   0.7% ,4.44
298, 298     ↓    2  ,   White Hill Music ,  Music  , 15.8M ↑  0.6% ,  510.37K   ↑   50.7% ,3.25
299, 299   ↑   2  ,   Willyrex ,  Gaming  , 15.7M   -   ,  1.18M   ↑   1.4% ,3.21
300, 300     ↓    3  ,   TheOdd1sOut ,  Comedy  , 15.7M   -   ,  39.65M   ↑   0.9% ,2.86
301, 301     ↓    3  ,   RsiamMusic : อาร์สยาม ,  Music  , 15.7M   -   ,  72.44K   ↑   1.3% ,2.62
302, 302     ↓    3  ,   ExtraPolinesios ,  People & Blogs  , 15.7M   -   ,  5.66M   ↑   1.1% ,3.88
303, 303   ↑   2  ,   Turma da Mônica ,  Film & Animation  , 15.7M ↑  0.6% ,  1.25M   ↑   7.4% ,3.4
304, 304     -   ,   Мирошка ТВ ,  Education  , 15.6M   -   ,  262.84M   ↑   0.1% ,0.82
305, 305   ↑   1  ,   Canal IN ,  Entertainment  , 15.6M ↑  0.7% ,  142.69K   ↑   0.1% ,2.73
306, 306     ↓    3  ,   Sonotek ,  Music  , 15.6M   -   ,  376.24K   ↑   1.4% ,2.88
307, 307   ↑   3  ,   W2S ,  Entertainment  , 15.5M ↑  0.7% ,  15.41M   ↑   0.2% ,0.91
308, 308     ↓    1  ,   Tu COSMOPOLIS ,  People & Blogs  , 15.5M   -   ,  279.18K    ↓     12.7% ,3.52
309, 309     ↓    1  ,   AdeleVEVO ,  Music  , 15.5M   -   ,  240.04M   ↑   0.2% ,0.94
310, 310   ↑   1  ,   Gordon Ramsay ,  Entertainment  , 15.5M ↑  0.7% ,  685.95K   ↑   10.1% ,3.21
311, 311     ↓    2  ,   Dua Lipa ,  Music  , 15.5M ↑  0.7% ,  23.56M   ↑   1.4% ,4.12
312, 312   ↑   7  ,   Mnet K-POP ,  Entertainment  , 15.4M ↑  0.7% ,  37.76K    ↓     49.5% ,4.57
313, 313     ↓    1  ,   Roman Atwood Vlogs ,  People & Blogs  , 15.4M   -   ,  2.55M   ↑   0.3% ,4.53
314, 314     ↓    1  ,   INCRÍVEL ,  People & Blogs  , 15.4M   -   ,  93.47K   ↑   11.3% ,3.34
315, 315     ↓    1  ,   Lyrical Lemonade ,  Entertainment  , 15.4M ↑  0.7% ,  36.42M   ↑   0.2% ,4.88
316, 316   ↑   2  ,   Gusttavo Lima Oficial ,  Music  , 15.4M ↑  0.7% ,  45.5M   ↑   2.6% ,4.74
317, 317     -   ,   HowToBasic ,  Howto & Style  , 15.3M   -   ,  2.84M   ↑   2.1% ,4.4
318, 318   ↑   2  ,   National Geographic ,  Entertainment  , 15.3M ↑  0.7% ,  75.29K   ↑   1% ,2.91
319, 319     ↓    4  ,   Reaction Time ,  Entertainment  , 15.3M   -   ,  384.47K    ↓     2% ,2.92
320, 320     ↓    4  ,   Rotana ,  Music  , 15.3M   -   ,  949.49K   ↑   177.4% ,3.45
321, 321   ↑   3  ,   Fatos Desconhecidos ,  Entertainment  , 15.2M ↑  0.7% ,  199.2K   ↑   5.1% ,3.25
322, 322     ↓    1  ,   The Lallantop ,  News & Politics  , 15.2M ↑  0.7% ,  51.78K   ↑   245% ,2.68
323, 323     ↓    1  ,   Peppa Pig Español Latino - Canal Oficial ,  Film & Animation  , 15.2M ↑  0.7% ,  4.04M   ↑   11.4% ,4.67
324, 324   ↑   3  ,   Chloe Ting ,  Howto & Style  , 15.1M ↑  0.7% ,  2.85M    ↓     9.4% ,4.88
325, 325   ↑   6  ,   IDEAS EN 5 MINUTOS ,  Howto & Style  , 15.1M ↑  0.7% ,  243.19K   ↑   11.5% ,3.3
326, 326   ↑   14  ,   Raffy Tulfo in Action ,  News & Politics  , 15.1M ↑  2% ,  847.67K   ↑   48.4% ,3.63
327, 327     ↓    1  ,   Aditya Music ,  Music  , 15.1M ↑  0.7% ,  101.83K    ↓     65.9% ,3.22
328, 328     ↓    5  ,   Got Talent Global ,  Entertainment  , 15.1M   -   ,  90.55K   ↑   17.3% ,2.73
329, 329     ↓    1  ,   Maroon5VEVO ,  Music  , 15M   -   ,  140M   ↑   0.5% ,3.57
330, 330   ↑   3  ,   BabyBus - Canciones Infantiles & Cuentos ,  Education  , 15M ↑  0.7% ,  2.63M   ↑   3.6% ,4.65
331, 331   ↑   6  ,   Movieclips Trailers ,  Film & Animation  , 15M ↑  0.7% ,  95.9K    ↓     19.6% ,3
332, 332     ↓    2  ,   الـريماس - Al-Remas ,  Music  , 15M   -   ,  253.22K   ↑   1.6% ,1.55
333, 333   ↑   5  ,   DeToxoMoroxo ,  Entertainment  , 15M ↑  0.7% ,  2.02M    ↓     10.3% ,3.19
334, 334     ↓    9  ,   SQUEEZIE ,  Entertainment  , 15M   -   ,  5.57M    ↓     4.5% ,4.64
335, 335     ↓    6  ,   NBA ,  Sports  , 15M   -   ,  406.78K    ↓     40% ,3.15
336, 336     ↓    4  ,   TheGrefg ,  Gaming  , 15M ↑  0.7% ,  2.9M   ↑   9% ,4.32
337, 337   ↑   4  ,   Aditya Movies ,  Entertainment  , 14.9M ↑  0.7% ,  469.74K   ↑   32% ,2.9
338, 338     ↓    2  ,   Musas ,  Howto & Style  , 14.9M   -   ,  2.03M   ↑   0.5% ,1.77
339, 339   ↑   6  ,   Diana Bebe ,  Entertainment  , 14.9M ↑  0.7% ,  3.01M    ↓     38.1% ,4.79
340, 340     ↓    6  ,   SelenaGomezVEVO ,  Music  , 14.9M   -   ,  11.69M    ↓     0.1% ,2.76
341, 341   ↑   1  ,   HiMan ,  Entertainment  , 14.9M ↑  0.7% ,  4.71M    ↓     7.3% ,4.79
342, 342     ↓    7  ,   Lilly Singh ,  Comedy  , 14.9M   -   ,  1.34M   ↑   0.8% ,2.79
343, 343   ↑   1  ,   SSundee ,  Gaming  , 14.9M ↑  0.7% ,  2.55M   ↑   10.6% ,4.08
344, 344   ↑   3  ,   Preston ,  Entertainment  , 14.8M ↑  0.7% ,  3.76M   ↑   2.5% ,4.76
345, 345     ↓    2  ,   Enaldinho ,  Comedy  , 14.8M   -   ,  547.84K   ↑   9.3% ,3.5
346, 346     ↓    7  ,   Oyuncak Avı ,  Entertainment  , 14.8M   -   ,  1.56M   ↑   9.6% ,3.29
347, 347     ↓    1  ,   Stubborn Facts ,  Entertainment  , 14.8M ↑  0.7% ,  2.36M    ↓     7.5% ,4.4
348, 348   ↑   4  ,   Minecraft - Topic , , 14.7M ↑  0.7% ,  685K    -    ,0.86
349, 349     ↓    1  ,   IDEIAS INCRÍVEIS ,  Howto & Style  , 14.7M   -   ,  224.12K   ↑   11.2% ,3.14
350, 350   ↑   1  ,   Cardi B ,  Music  , 14.7M ↑  0.7% ,  109.08M   ↑   0.6% ,4.25
351, 351     ↓    1  ,   ERB ,  Entertainment  , 14.6M   -   ,  28.69M   ↑   0.4% ,0.93
352, 352   ↑   3  ,   Anitta ,  Music  , 14.6M ↑  0.7% ,  82.71M   ↑   0.6% ,4.27
353, 353   ↑   1  ,   FactTechz ,  Entertainment  , 14.6M ↑  0.7% ,  3.41M   ↑   0.7% ,4.06
354, 354     ↓    1  ,   Rclbeauty101 ,  Comedy  , 14.6M   -   ,  1.98M    ↓     0.4% ,2.63
355, 355     ↓    6  ,   FailArmy ,  Entertainment  , 14.6M   -   ,  1.13M   ↑   2.4% ,3.03
356, 356   ↑   2  ,   Tlnovelas ,  Entertainment  , 14.5M ↑  0.7% ,  22.77K    ↓     65% ,2.69
357, 357     -   ,   MalumaVEVO ,  Music  , 14.4M   -   ,  18.75M   ↑   6.4% ,4.51
358, 358   ↑   2  ,   PDK Films ,  Entertainment  , 14.4M ↑  0.7% ,  27.91M    ↓     0.6% ,3.87
359, 359   ↑   4  ,   Indosiar ,  Entertainment  , 14.4M ↑  1.4% ,  36.7K    ↓     82.1% ,4.78
360, 360   ↑   2  ,   Marvel Entertainment ,  Entertainment  , 14.4M ↑  0.7% ,  703.04K   ↑   30.4% ,3.23
361, 361     ↓    5  ,   TheRichest ,  Film & Animation  , 14.4M   -   ,  133.63K    ↓     1.3% ,3
362, 362     ↓    1  ,   TheBrianMaps ,  Entertainment  , 14.4M ↑  0.7% ,  4.87M   ↑   1.7% ,4.49
363, 363   ↑   6  ,   Mark Rober ,  Science & Technology  , 14.3M ↑  1.4% ,  24.97M   ↑   4.9% ,4.55
364, 364     ↓    5  ,   Katie Angel ,  Music  , 14.3M   -   ,  2.64M   ↑   1.9% ,4.33
365, 365   ↑   2  ,   Boyce Avenue ,  Music  , 14.3M ↑  0.7% ,  2.24M    ↓     4.9% ,2.65
366, 366     ↓    1  ,   Wengie ,  Howto & Style  , 14.2M   -   ,  1.66M   ↑   0.3% ,3.02
367, 367   ↑   5  ,   CookieSwirlC ,  Gaming  , 14.2M ↑  0.7% ,  715.5K   ↑   2.8% ,2.92
368, 368   ↑   10  ,   Frost Diamond ,  Entertainment  , 14.2M ↑  1.4% ,  1.19M   ↑   6.4% ,3.95
369, 369   ↑   4  ,   KBS World ,  Entertainment  , 14.2M ↑  0.7% ,  6.1K    ↓     59.3% ,3.23
370, 370     ↓    4  ,   IGN ,  Gaming  , 14.2M   -   ,  57.15K    ↓     25.6% ,3.73
371, 371     ↓    7  ,   officialpsy ,  Music  , 14.2M   -   ,  34.59M   ↑   0.4% ,0.96
372, 372   ↑   7  ,   toyorbabytv ,  Music  , 14.1M ↑  0.7% ,  205.3K    ↓     0.5% ,2.78
373, 373   ↑   2  ,   Brent Rivera ,  Entertainment  , 14.1M   -   ,  7.48M    ↓     3.5% ,4.71
374, 374     ↓    3  ,   Kaykai Salaider ,  Entertainment  , 14.1M   -   ,  4.58M    ↓     0.6% ,4.71
375, 375     ↓    7  ,   Marmok ,  Gaming  , 14.1M   -   ,  7.67M   ↑   1.1% ,4.43
376, 376     ↓    6  ,   Sandra Cires Art ,  Entertainment  , 14.1M   -   ,  4.22M    ↓     1.6% ,4.72
377, 377     ↓    3  ,   Sebastián Yatra ,  Music  , 14.1M   -   ,  1.7M   ↑   0.2% ,2.18
378, 378     ↓    2  ,   Miley Cyrus ,  Entertainment  , 14.1M   -   ,  1.39M   ↑   4.5% ,2.23
379, 379   ↑   3  ,   Crafty Panda ,  Howto & Style  , 14.1M ↑  0.7% ,  6.23M   ↑   12.7% ,4.95
380, 380     ↓    3  ,   Diana Play ,  Entertainment  , 14.1M   -   ,  4.31M    ↓     28.5% ,4.87
381, 381   ↑   5  ,   Rafa & Luiz ,  Entertainment  , 14M ↑  0.7% ,  1M    ↓     0.5% ,3.39
382, 382   ↑   5  ,   Camila Cabello ,  Music  , 14M ↑  0.7% ,  2.16M   ↑   0.3% ,1.32
383, 383     ↓    3  ,   Little Mix ,  Music  , 14M   -   ,  1.73M   ↑   0.5% ,1.32
384, 384     ↓    3  ,   Manual do Mundo ,  Science & Technology  , 14M   -   ,  1.01M   ↑   6.2% ,3.09
385, 385     ↓    2  ,   CollegeHumor ,  Comedy  , 14M   -   ,  393.08K    ↓     0.2% ,1.86
386, 386   ↑   7  ,   Jason Derulo ,  Music  , 13.9M ↑  0.7% ,  8.65M   ↑   0.3% ,4.37
387, 387   ↑   4  ,   Pitbull ,  Music  , 13.9M ↑  0.7% ,  1.26M   ↑   2.1% ,2.09
388, 388     ↓    4  ,   Dr. Vivek Bindra: Motivational Speaker ,  Education  , 13.9M   -   ,  698.05K    ↓     13.8% ,3.38
389, 389     ↓    4  ,   The Slow Mo Guys ,  Entertainment  , 13.9M   -   ,  5.89M    ↓     2.2% ,2.65
390, 390   ↑   2  ,   Naisa Alifia Yuriza (N.A.Y) ,  Entertainment  , 13.9M ↑  0.7% ,  848.35K    ↓     11% ,3.77
391, 391   ↑   6  ,   Enes Batur ,  Entertainment  , 13.8M ↑  0.7% ,  7.22M   ↑   1.1% ,4.8
392, 392   ↑   3  ,   MattyBRaps ,  Music  , 13.8M   -   ,  14.06M   ↑   1.1% ,2.4
393, 393   ↑   11  ,   Antrax ,  Entertainment  , 13.8M ↑  0.7% ,  2.56M   ↑   1.3% ,4.8
394, 394     ↓    5  ,   Martin Garrix ,  Music  , 13.8M   -   ,  1.29M   ↑   0.9% ,2.57
395, 395   ↑   1  ,   Lachlan ,  Gaming  , 13.8M   -   ,  2.42M    ↓     9.9% ,4.57
396, 396     ↓    2  ,   LEGENDA FUNK ,  Music  , 13.8M   -   ,  67.54K   ↑   10.4% ,3.2
397, 397     ↓    9  ,   Cyprien ,  Comedy  , 13.8M   -   ,  7.75M   ↑   0.2% ,4.13
398, 398   ↑   1  ,   حِرف إبداعية في 5 دقائق ,  Howto & Style  , 13.8M ↑  0.7% ,  395.98K   ↑   1.5% ,3.12
399, 399     ↓    9  ,   Trap City ,  Music  , 13.8M   -   ,  100.42K   ↑   13% ,2.8
400, 400   ↑   1  ,   SIS vs BRO ,  Entertainment  , 13.7M   -   ,  8.71M    ↓     2.8% ,4.39
401, 401   ↑   1  ,   GRAMMY GOLD OFFICIAL ,  Music  , 13.7M   -   ,  65.96K    ↓     67.8% ,2.94
402, 402     ↓    1  ,   SIS vs BRO ,  Entertainment  , 13.7M   -   ,  8.71M    ↓     2.8% ,4.39
403, 403     ↓    3  ,   Познаватель ,  Entertainment  , 13.7M   -   ,  7.37M   ↑   1.2% ,4.54
404, 404     ↓    1  ,   AM3NlC ,  People & Blogs  , 13.7M   -   ,  628.47K   ↑   11.1% ,3.11
405, 405     -   ,   Major Lazer Official ,  Music  , 13.6M   -   ,  318.83K   ↑   6.3% ,2.32
406, 406     -   ,   Shidory Drawblogs ,  Entertainment  , 13.6M   -   ,  1.87M   ↑   1% ,2.82
407, 407   ↑   6  ,   Kwebbelkop ,  Gaming  , 13.6M ↑  0.7% ,  500.31K    ↓     11.4% ,3.16
408, 408     ↓    1  ,   Planeta das Gêmeas ,  Entertainment  , 13.6M   -   ,  886.11K    ↓     16.1% ,3.17
